Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1262.00000000,,Zero Index,1262.00000000,,Zero Index,1262.00000000,,Zero Index,1262.00000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-1.000000,,yPosition,-1.800000,,yPosition,-1.820000,,,

TIME,CH1,CH2,CH3,,TIME,MATH1
-1.81440000e-06,-1.01062500e+01,1.17890625e+03,-1.03125000e+00,,-1.81440000e-06,-2.44739786e-04
-1.81280000e-06,-1.00921875e+01,1.18062500e+03,-2.07812500e+00,,-1.81280000e-06,-2.47675169e-04
-1.81120000e-06,-1.01828125e+01,1.17742188e+03,-1.39062500e+00,,-1.81120000e-06,-2.50947836e-04
-1.80960000e-06,-1.01953125e+01,1.17718750e+03,-1.21875000e+00,,-1.80960000e-06,-2.53405480e-04
-1.80800000e-06,-1.01156250e+01,1.17843750e+03,-7.96875000e-01,,-1.80800000e-06,-2.55304505e-04
-1.80640000e-06,-1.02656250e+01,1.17750000e+03,-8.28125000e-01,,-1.80640000e-06,-2.56835861e-04
-1.80480000e-06,-1.02421875e+01,1.17429688e+03,-1.03125000e+00,,-1.80480000e-06,-2.58584740e-04
-1.80320000e-06,-1.01734375e+01,1.18039062e+03,-3.75000000e-01,,-1.80320000e-06,-2.59907654e-04
-1.80160000e-06,-1.02187500e+01,1.17406250e+03,-7.03125000e-01,,-1.80160000e-06,-2.60922185e-04
-1.80000000e-06,-1.01093750e+01,1.17843750e+03,-7.18750000e-01,,-1.80000000e-06,-2.62260204e-04
-1.79840000e-06,-1.01453125e+01,1.17898438e+03,-9.21875000e-01,,-1.79840000e-06,-2.63807306e-04
-1.79680000e-06,-1.01421875e+01,1.17875000e+03,-8.59375000e-01,,-1.79680000e-06,-2.65487208e-04
-1.79520000e-06,-1.01265625e+01,1.17812500e+03,-1.40625000e+00,,-1.79520000e-06,-2.67622992e-04
-1.79360000e-06,-1.01468750e+01,1.17937500e+03,-5.62500000e-01,,-1.79360000e-06,-2.69479089e-04
-1.79200000e-06,-1.01593750e+01,1.17703125e+03,-1.56250000e-02,,-1.79200000e-06,-2.70024524e-04
-1.79040000e-06,-1.01500000e+01,1.17656250e+03,-9.53125000e-01,,-1.79040000e-06,-2.70936376e-04
-1.78880000e-06,-1.00937500e+01,1.18125000e+03,-1.07812500e+00,,-1.78880000e-06,-2.72852340e-04
-1.78720000e-06,-1.01375000e+01,1.17890625e+03,-8.90625000e-01,,-1.78720000e-06,-2.74711143e-04
-1.78560000e-06,-1.01140625e+01,1.17578125e+03,-1.14062500e+00,,-1.78560000e-06,-2.76624021e-04
-1.78400000e-06,-1.00828125e+01,1.17835938e+03,-7.18750000e-01,,-1.78400000e-06,-2.78374471e-04
-1.78240000e-06,-1.00640625e+01,1.17851562e+03,-2.65625000e-01,,-1.78240000e-06,-2.79302476e-04
-1.78080000e-06,-1.01562500e+01,1.17507812e+03,-8.43750000e-01,,-1.78080000e-06,-2.80346081e-04
-1.77920000e-06,-1.01093750e+01,1.17460938e+03,-9.68750000e-01,,-1.77920000e-06,-2.82049587e-04
-1.77760000e-06,-1.00703125e+01,1.17828125e+03,-8.90625000e-01,,-1.77760000e-06,-2.83799425e-04
-1.77600000e-06,-1.00984375e+01,1.17453125e+03,-1.31250000e+00,,-1.77600000e-06,-2.85872200e-04
-1.77440000e-06,-1.01156250e+01,1.17554688e+03,-9.53125000e-01,,-1.77440000e-06,-2.88001815e-04
-1.77280000e-06,-1.01484375e+01,1.17804688e+03,-7.03125000e-01,,-1.77280000e-06,-2.89560820e-04
-1.77120000e-06,-1.00468750e+01,1.17835938e+03,-8.75000000e-01,,-1.77120000e-06,-2.91048316e-04
-1.76960000e-06,-1.01296875e+01,1.17898438e+03,-1.06250000e+00,,-1.76960000e-06,-2.92875309e-04
-1.76800000e-06,-1.01343750e+01,1.17843750e+03,-9.37500000e-01,,-1.76800000e-06,-2.94761267e-04
